C,SF,FA,SIP,SFl,SS,S,QP,QS,GP,W,SP,SL,Age,L,D,HFV,SFV,TFV,TS
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,1.5,0,4.38
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,2.5,0,7.64
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,2.5,0,7.34
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,2.5,0,7.30
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,2.5,0,7.18
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,1,0,0,5.16
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,1,0,0,5.07
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,1,0,0,4.84
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,1,0,0,4.78
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,2,0,0,7.05
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,2,0,0,7.17
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,2,0,0,7.25
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.38,2,0,0,7.64
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1,4.46
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1,4.35
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1,4.07
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1,3.97
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,2,8.47
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,2,7.80
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,2,7.64
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,2,7.48
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1.5,7.23
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1.5,7.07
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1.5,6.91
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,30,0.3,0,0,1.5,6.71
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,3,5.22
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,3,4.99
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,3,4.85
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,3,4.84
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,3,4.70
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,1.5,0,0,3.43
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,1.5,0,0,3.00
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,1.5,0,0,3.04
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,1.5,0,0,2.90
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,2,0,0,4.18
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,2,0,0,3.84
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,2,0,0,3.78
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,2,0,0,3.69
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,2,0,0,3.43
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,2,0,0,3.19
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,2,0,0,3.70
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,3,0,0,5.23
